ko	map	pathway
K02967	map03010	Ribosome
K02968	map03010	Ribosome
K02969	map03010	Ribosome
K02970	map03010	Ribosome
K02975	map03010	Ribosome
K02981	map03010	Ribosome
K02982	map03010	Ribosome
K02984	map03010	Ribosome
K02986	map03010	Ribosome
K02987	map03010	Ribosome
K02988	map03010	Ribosome
K02990	map03010	Ribosome
K02991	map04910	Insulin signaling pathway
K02992	map03010	Ribosome
K02994	map03010	Ribosome
K02995	map03010	Ribosome
K02996	map03010	Ribosome
K02997	map03010	Ribosome
K02998	map03010	Ribosome
K02999	map03020	RNA polymerase
K03002	map03020	RNA polymerase
K03005	map03020	RNA polymerase
K03006	map05016	Huntington's disease
K03010	map05016	Huntington's disease
K03018	map04623	Cytosolic DNA-sensing pathway
K03021	map04623	Cytosolic DNA-sensing pathway
K03028	map03050	Proteasome
K03029	map03050	Proteasome
K03030	map03050	Proteasome
K03032	map03050	Proteasome
K03040	map03020	RNA polymerase
K03043	map03020	RNA polymerase
K03046	map03020	RNA polymerase
K03048	map03020	RNA polymerase
K03060	map03020	RNA polymerase
K03062	map03050	Proteasome
K03063	map03050	Proteasome
K03070	map03070	Bacterial secretion system
K03071	map03070	Bacterial secretion system
K03072	map03070	Bacterial secretion system
K03073	map03070	Bacterial secretion system
K03074	map03070	Bacterial secretion system
K03075	map03070	Bacterial secretion system
K03076	map03070	Bacterial secretion system
K03077	map00053	Ascorbate and aldarate metabolism
K03078	map00053	Ascorbate and aldarate metabolism
K03079	map00053	Ascorbate and aldarate metabolism
K03081	map00040	Pentose and glucuronate interconversions
K03082	map00040	Pentose and glucuronate interconversions
K03086	map03020	RNA polymerase
K03087	map05111	Vibrio cholerae pathogenic cycle
K03088	map03020	RNA polymerase
K03089	map03020	RNA polymerase
K03090	map03020	RNA polymerase
K03091	map03020	RNA polymerase
K03092	map02040	Flagellar assembly
K03093	map03020	RNA polymerase
K03095	Unknown	Unknown
K03098	Unknown	Unknown
K03100	map03060	Protein export
K03101	map03060	Protein export
K03106	map03070	Bacterial secretion system
K03110	map03070	Bacterial secretion system
K03111	map03440	Homologous recombination
K03112	Unknown	Unknown
K03113	map03013	RNA transport
K03115	map05162	Measles
K03116	map03070	Bacterial secretion system
K03117	map03070	Bacterial secretion system
K03118	map03070	Bacterial secretion system
K03124	map03022	Basal transcription factors
K03125	map03022	Basal transcription factors
K03134	map03022	Basal transcription factors
K03138	map03022	Basal transcription factors
K03146	Unknown	Unknown
K03147	map00730	Thiamine metabolism
K03148	map04122	Sulfur relay system
K03149	map00730	Thiamine metabolism
K03150	map00730	Thiamine metabolism
K03151	map04122	Sulfur relay system
K03152	Unknown	Unknown
K03153	map00730	Thiamine metabolism
K03154	map04122	Sulfur relay system
K03162	Unknown	Unknown
K03165	map03440	Homologous recombination
K03168	Unknown	Unknown
K03169	Unknown	Unknown
K03177	Unknown	Unknown
K03178	map05012	Parkinson's disease
K03182	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
K03183	map00130	Ubiquinone biosynthesis
K03187	Unknown	Unknown
K03188	Unknown	Unknown
K03189	Unknown	Unknown
K03190	Unknown	Unknown
K03191	map05120	Epithelial cell signaling in Helicobacter pylori infection
K03195	map03070	Bacterial secretion system
K03196	map03070	Bacterial secretion system
K03197	map03070	Bacterial secretion system
K03199	map03070	Bacterial secretion system
K03200	map03070	Bacterial secretion system
K03204	map03070	Bacterial secretion system
K03205	map03070	Bacterial secretion system
K03210	map03070	Bacterial secretion system
K03212	Unknown	Unknown
K03215	Unknown	Unknown
K03216	Unknown	Unknown
K03217	map03070	Bacterial secretion system
K03218	Unknown	Unknown
K03231	map03013	RNA transport
K03232	Unknown	Unknown
K03234	Unknown	Unknown
K03235	Unknown	Unknown
K03243	map03013	RNA transport
K03248	map03013	RNA transport
K03257	map03013	RNA transport
K03267	map03015	mRNA surveillance pathway
K03269	map00540	Lipopolysaccharide biosynthesis
K03270	map00540	Lipopolysaccharide biosynthesis
K03271	map00540	Lipopolysaccharide biosynthesis
K03272	map00540	Lipopolysaccharide biosynthesis
K03273	map00540	Lipopolysaccharide biosynthesis
K03274	map00540	Lipopolysaccharide biosynthesis
K03275	map00540	Lipopolysaccharide biosynthesis
K03279	map00540	Lipopolysaccharide biosynthesis
K03280	map00540	Lipopolysaccharide biosynthesis
K03281	Unknown	Unknown
K03282	Unknown	Osmotic stress adaptation
K03283	map05162	Measles
K03284	Unknown	Magnesium transport
K03285	Unknown	Unknown
K03286	Unknown	Unknown
K03287	Unknown	Unknown
K03289	Unknown	Unknown
K03290	Unknown	Unknown
K03292	Unknown	Unknown
K03293	Unknown	Unknown
K03294	Unknown	Unknown
K03295	Unknown	Unknown
K03296	Unknown	Unknown
K03297	Unknown	Multidrug resistance - efflux pump
K03299	Unknown	Unknown
K03300	Unknown	Unknown
K03303	Unknown	Lactate metabolism
K03304	Unknown	Unknown
K03305	Unknown	Unknown
K03306	Unknown	Unknown
K03307	Unknown	Unknown
K03308	Unknown	Unknown
K03309	Unknown	Unknown
K03310	Unknown	Unknown
K03311	Unknown	Unknown
K03312	Unknown	Unknown
K03313	map00680	Sodium-proton antiport
K03315	map00680	Sodium-proton antiport
K03316	Unknown	Unknown
K03317	Unknown	Unknown
K03319	Unknown	Unknown
K03320	Unknown	Unknown
K03321	Unknown	Unknown
K03322	Unknown	Manganese acquisition
K03324	Unknown	Unknown
K03325	Unknown	Unknown
K03326	Unknown	Unknown
K03327	Unknown	Unknown
K03328	Unknown	Unknown
K03332	map00051	Fructose and mannose metabolism
K03335	map00562	Inositol phosphate metabolism
K03336	map00562	Inositol phosphate metabolism
K03337	map00562	Inositol phosphate metabolism
K03338	map00562	Inositol phosphate metabolism
K03340	map00300	Lysine biosynthesis
K03342	map00790	Folate biosynthesis
K03346	Unknown	Unknown
K03348	map04914	Progesterone-mediated oocyte maturation
K03351	map04914	Progesterone-mediated oocyte maturation
K03360	map04120	Ubiquitin mediated proteolysis
K03361	map04120	Ubiquitin mediated proteolysis
K03364	map04914	Progesterone-mediated oocyte maturation
K03366	map00650	Butanoate metabolism
K03367	map05150	Cationic antimicrobial peptide (CAMP) resistance
K03385	map00910	Nitrogen metabolism
K03386	Unknown	Unknown
K03387	Unknown	Unknown
K03389	map00680	Methane metabolism
K03394	map00860	Porphyrin and chlorophyll metabolism
K03399	map00860	Porphyrin and chlorophyll metabolism
K03402	Unknown	Unknown
K03404	map00860	Porphyrin and chlorophyll metabolism
K03405	map00860	Porphyrin and chlorophyll metabolism
K03406	map02030	Bacterial chemotaxis
K03407	map02030	Bacterial chemotaxis
K03408	map02030	Bacterial chemotaxis
K03410	map02030	Bacterial chemotaxis
K03411	map02030	Bacterial chemotaxis
K03412	map02030	Bacterial chemotaxis
K03413	map02030	Bacterial chemotaxis
K03415	map02030	Bacterial chemotaxis
K03420	map03050	Proteasome
K03423	Unknown	Unknown
K03424	Unknown	Unknown
K03426	map04146	Peroxisome
K03427	Unknown	Unknown
K03429	map00561	Glycerolipid metabolism
K03431	map00520	Amino sugar and nucleotide sugar metabolism
K03434	map00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
K03436	map00051	Fructose metabolism
K03437	Unknown	Unknown
K03438	Unknown	Unknown
K03439	Unknown	Unknown
K03442	Unknown	Osmotic stress adaptation
K03445	Unknown	Unknown
K03446	Unknown	Unknown
K03449	Unknown	Unknown
K03451	Unknown	Unknown
K03453	Unknown	Unknown
K03455	Unknown	Unknown
K03457	Unknown	Unknown
K03458	Unknown	Unknown
K03462	map00760	Nicotinate and nicotinamide metabolism
K03465	map00670	One carbon pool by folate
K03466	Unknown	Unknown
K03469	map03030	DNA replication
K03470	map03030	DNA replication
K03471	map03030	DNA replication
K03473	map00750	Vitamin B6 metabolism
K03474	map00750	Vitamin B6 metabolism
K03475	map02060	Phosphotransferase system (PTS)
K03476	map00053	Ascorbate and aldarate metabolism
K03478	Unknown	Unknown
K03480	Unknown	Unknown
K03481	Unknown	Unknown
K03483	Unknown	Unknown
K03484	map00500	Starch and sucrose metabolism
K03486	Unknown	Unknown
K03488	Unknown	Unknown
K03489	Unknown	Unknown
K03491	Unknown	Unknown
K03492	Unknown	Unknown
K03493	Unknown	Unknown
K03495	Unknown	Unknown
K03496	Unknown	Unknown
K03497	Unknown	Unknown
K03498	Unknown	Unknown
K03499	Unknown	Unknown
K03500	Unknown	Unknown
K03501	Unknown	Unknown
K03502	Unknown	Unknown
K03503	Unknown	Unknown
K03515	Unknown	Unknown
K03516	Unknown	Unknown
K03517	map00760	Nicotinate and nicotinamide metabolism
K03518	map00680	Methane metabolism
K03519	map00680	Methane metabolism
K03521	Unknown	Unknown
K03522	Unknown	Unknown
K03523	Unknown	Unknown
K03524	map00780	Biotin metabolism
K03525	map00770	Pantothenate and CoA biosynthesis
K03526	map00900	Terpenoid backbone biosynthesis
K03527	map00900	Terpenoid backbone biosynthesis
K03529	Unknown	Unknown
K03530	Unknown	Unknown
K03531	map04112	Cell division
K03534	Unknown	Unknown
K03535	Unknown	Unknown
K03536	Unknown	Unknown
K03543	Unknown	Unknown
K03544	map04112	Clp-dependent proteolysis
K03545	Unknown	Unknown
K03546	Unknown	Unknown
K03547	Unknown	Unknown
K03548	Unknown	Unknown
K03549	Unknown	Unknown
K03550	map03440	Homologous recombination
K03551	map03440	Homologous recombination
K03553	map03440	Homologous recombination
K03554	Unknown	Unknown
K03555	map03430	Mismatch repair
K03556	Unknown	Unknown
K03558	Unknown	Unknown
K03559	Unknown	Unknown
K03561	Unknown	Unknown
K03563	map02020	Two-component system
K03564	Unknown	Unknown
K03565	Unknown	Unknown
K03566	Unknown	Unknown
K03568	Unknown	Unknown
K03569	Unknown	Unknown
K03570	Unknown	Unknown
K03571	Unknown	Unknown
K03572	map03430	Mismatch repair
K03573	map03430	Mismatch repair
K03574	Unknown	Unknown
K03575	map03410	Base excision repair
K03576	Unknown	Unknown
K03577	Unknown	Unknown
K03578	Unknown	Unknown
K03579	Unknown	Unknown
K03580	Unknown	Unknown
K03581	map03440	Homologous recombination
K03582	map03440	Homologous recombination
K03583	map03440	Homologous recombination
K03584	map03440	Homologous recombination
K03585	Unknown	Unknown
K03587	map00550	Peptidoglycan biosynthesis
K03588	map04112	Cell division
K03589	map04112	Cell division
K03590	map04112	Cell division
K03591	Unknown	Unknown
K03592	Unknown	Unknown
K03593	Unknown	Unknown
K03595	Unknown	Unknown
K03596	Unknown	Unknown
K03599	Unknown	Unknown
K03601	map03430	Mismatch repair
K03602	map03430	Mismatch repair
K03604	Unknown	Unknown
K03605	Unknown	Unknown
K03606	Unknown	Unknown
K03608	Unknown	Unknown
K03609	Unknown	Unknown
K03610	Unknown	Unknown
K03612	Unknown	Unknown
K03613	Unknown	Unknown
K03614	Unknown	Unknown
K03615	Unknown	Unknown
K03616	Unknown	Unknown
K03617	Unknown	Unknown
K03620	Unknown	Unknown
K03621	map00564	Glycerophospholipid metabolism
K03624	Unknown	Unknown
K03625	Unknown	Unknown
K03628	map03018	RNA degradation
K03629	map03440	Homologous recombination
K03630	Unknown	Unknown
K03631	Unknown	DNA damage repair
K03634	Unknown	Unknown
K03635	map04122	Sulfur relay system
K03637	map04122	Sulfur relay system
K03638	Unknown	Unknown
K03639	map04122	Sulfur relay system
K03640	Unknown	Unknown
K03641	Unknown	Unknown
K03642	Unknown	Unknown
K03644	map00785	Lipoic acid metabolism
K03646	Unknown	Unknown
K03647	Unknown	Unknown
K03648	map05340	Primary immunodeficiency
K03649	map03410	Base excision repair
K03650	Unknown	Unknown
K03652	map03410	Base excision repair
K03653	Unknown	Unknown
K03654	map03018	RNA degradation
K03655	map03440	Homologous recombination
K03656	Unknown	Unknown
K03657	map03430	Mismatch repair
K03658	Unknown	Unknown
K03660	map03410	Base excision repair
K03664	Unknown	Unknown
K03665	Unknown	Unknown
K03666	map03018	RNA degradation
K03667	Unknown	Unknown
K03671	Unknown	Unknown
K03673	Unknown	Unknown
K03684	Unknown	Unknown
K03685	map03008	Ribosome biogenesis in eukaryotes
K03686	Unknown	Unknown
K03687	Unknown	Unknown
K03688	map00130	Ubiquinone biosynthesis
K03693	map00550	Peptidoglycan biosynthesis
K03694	Unknown	Unknown
K03695	Unknown	Unknown
K03696	Unknown	Unknown
K03697	Unknown	Unknown
K03698	Unknown	Unknown
K03699	Unknown	Unknown
K03700	Unknown	DNA damage repair
K03701	map03420	Nucleotide excision repair
K03702	map03420	Nucleotide excision repair
K03703	map03420	Nucleotide excision repair
K03704	Unknown	Unknown
K03705	Unknown	Unknown
K03706	Unknown	Unknown
K03707	map00730	Thiamine metabolism
K03708	Unknown	Unknown
K03709	Unknown	Unknown
K03710	Unknown	Unknown
K03711	Unknown	Unknown
K03712	Unknown	Unknown
K03713	Unknown	Unknown
K03715	map00561	Glycerolipid metabolism
K03716	Unknown	Unknown
K03718	Unknown	Unknown
K03719	Unknown	Unknown
K03721	Unknown	Unknown
K03722	Unknown	Unknown
K03723	map03420	Nucleotide excision repair
K03724	Unknown	Unknown
K03727	Unknown	Unknown
K03733	Unknown	Unknown
K03734	Unknown	Unknown
K03735	map00564	Glycerophospholipid metabolism
K03736	map00564	Glycerophospholipid metabolism
K03737	map00720	Citrate cycle (TCA cycle)
K03738	map00030	Pentose phosphate pathway
K03739	map05150	Cationic antimicrobial peptide (CAMP) resistance
K03740	map05150	Cationic antimicrobial peptide (CAMP) resistance
K03741	Unknown	Unknown
K03742	Unknown	Unknown
K03743	Unknown	Unknown
K03744	Unknown	Unknown
K03748	Unknown	Unknown
K03750	Unknown	Unknown
K03752	Unknown	Unknown
K03753	Unknown	Unknown
K03756	Unknown	Unknown
K03757	Unknown	Unknown
K03758	Unknown	Unknown
K03760	Unknown	Unknown
K03762	Unknown	Unknown
K03763	map03440	Homologous recombination
K03765	Unknown	Unknown
K03767	Unknown	Unknown
K03768	Unknown	Unknown
K03769	Unknown	Unknown
K03770	Unknown	Unknown
K03771	Unknown	Unknown
K03772	Unknown	Unknown
K03773	Unknown	Unknown
K03775	Unknown	Unknown
K03778	map00620	Pyruvate metabolism
K03779	map00630	Glyoxylate and dicarboxylate metabolism
K03780	map00630	Glyoxylate and dicarboxylate metabolism
K03781	map05014	Amyotrophic lateral sclerosis (ALS)
K03782	map00940	Phenylpropanoid biosynthesis
K03783	map00760	Nicotinate and nicotinamide metabolism
K03784	map00760	Nicotinate and nicotinamide metabolism
K03785	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K03786	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K03787	map00760	Nicotinate and nicotinamide metabolism
K03788	map00740	Riboflavin metabolism
K03789	Unknown	Unknown
K03790	Unknown	Unknown
K03791	Unknown	Unknown
K03796	Unknown	Unknown
K03797	Unknown	Unknown
K03798	Unknown	Unknown
K03799	Unknown	Unknown
K03800	map00785	Lipoic acid metabolism
K03801	map00785	Lipoic acid metabolism
K03803	Unknown	Unknown
K03805	Unknown	Unknown
K03806	Unknown	Unknown
K03809	Unknown	Unknown
K03810	Unknown	Unknown
K03811	Unknown	Unknown
K03813	Unknown	Unknown
K03814	map00550	Peptidoglycan biosynthesis
K03816	map00230	Purine metabolism
K03817	Unknown	Unknown
K03820	Unknown	Unknown
K03821	map00650	Butanoate metabolism
K03823	map00440	Phosphonate and phosphinate metabolism
K03827	Unknown	Unknown
K03828	Unknown	Unknown
K03831	map04122	Sulfur relay system
K03832	Unknown	Unknown
K03833	Unknown	Unknown
K03837	Unknown	Unknown
K03839	Unknown	Unknown
K03852	map00430	Taurine and hypotaurine metabolism
K03855	Unknown	Unknown
K03856	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K03878	map05012	Parkinson's disease
K03879	map05012	Parkinson's disease
K03881	map05012	Parkinson's disease
K03882	map05012	Parkinson's disease
K03883	map05012	Parkinson's disease
K03885	map00190	Oxidative phosphorylation
K03892	Unknown	Unknown
K03893	Unknown	Unknown
K03924	Unknown	Unknown
K03925	Unknown	Unknown
K03927	map00983	Drug metabolism - other enzymes
K03928	Unknown	Unknown
K03930	Unknown	Unknown
K03931	Unknown	Unknown
K03932	Unknown	Unknown
K03935	map05016	Huntington's disease
K03969	Unknown	Unknown
K03973	Unknown	Unknown
K03975	Unknown	Unknown
K03976	Unknown	Unknown
K03977	Unknown	Unknown
K03978	Unknown	Unknown
K03979	Unknown	Unknown
K03980	map00550	Peptidoglycan biosynthesis
K03981	Unknown	Unknown
K04013	map00910	Nitrogen metabolism
K04015	map00910	Nitrogen metabolism
K04019	map00564	Glycerophospholipid metabolism
K04023	Unknown	Unknown
K04024	Unknown	Unknown
K04026	Unknown	Unknown
K04027	Unknown	Unknown
K04028	Unknown	Unknown
K04029	Unknown	Unknown
K04030	Unknown	Unknown
K04031	Unknown	Unknown
K04032	map00860	Porphyrin and chlorophyll metabolism
K04033	Unknown	Unknown
K04034	map00860	Porphyrin and chlorophyll metabolism
K04041	map00710	Glycolysis / Gluconeogenesis
K04042	map00520	Amino sugar and nucleotide sugar metabolism
K04043	map05152	Molecular chaperones
K04044	Unknown	Unknown
K04047	Unknown	Unknown
K04061	Unknown	Unknown
K04066	map03440	Homologous recombination
K04067	map03440	Homologous recombination
K04068	Unknown	Unknown
K04069	Unknown	Unknown
K04070	Unknown	Unknown
K04072	map00650	Butanoate metabolism
K04074	Unknown	Unknown
K04075	map00970	Aminoacyl-tRNA biosynthesis
K04076	Unknown	Unknown
K04077	map05152	Molecular chaperones
K04078	Unknown	Unknown
K04079	map05215	Molecular chaperones
K04082	Unknown	Unknown
K04083	Unknown	Unknown
K04084	Unknown	Unknown
K04085	map04122	Sulfur relay system
K04086	Unknown	Unknown
K04087	Unknown	Unknown
K04088	Unknown	Unknown
K04091	Unknown	Unknown
K04092	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K04094	Unknown	Unknown
K04095	Unknown	Unknown
K04096	Unknown	Unknown
K04103	map00380	Tryptophan metabolism
K04108	map00627	Aminobenzoate degradation
K04110	map00627	Aminobenzoate degradation
K04113	map00362	Benzoate degradation
K04114	map00362	Benzoate degradation
K04127	map00311	Penicillin and cephalosporin biosynthesis
K04257	map04740	Olfactory transduction
K04338	Unknown	Unknown
K04477	Unknown	Unknown
K04485	Unknown	Unknown
K04486	map00340	Histidine metabolism
K04487	map04122	Sulfur relay system
K04488	Unknown	Unknown
K04499	map04310	Wnt signaling pathway
K04516	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K04517	map00401	Novobiocin biosynthesis
K04518	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K04561	map00910	Nitrogen metabolism
K04562	map02040	Flagellar assembly
K04564	map05016	ROS degradation
K04565	map05020	Prion diseases
K04567	map00970	Aminoacyl-tRNA biosynthesis
K04574	map05014	Amyotrophic lateral sclerosis (ALS)
K04627	map04011	MAPK signaling pathway - yeast
K04646	map05100	Bacterial invasion of epithelial cells
K04651	Unknown	Unknown
K04652	Unknown	Unknown
K04653	Unknown	Unknown
K04654	Unknown	Unknown
K04655	Unknown	Unknown
K04656	Unknown	Unknown
K04706	map05222	Small cell lung cancer
K04711	map00600	Sphingolipid metabolism
K04712	map00600	Sphingolipid metabolism
K04720	map00860	Porphyrin and chlorophyll metabolism
K04728	map04210	Apoptosis
K04744	Unknown	Unknown
K04748	map00910	Nitrogen metabolism
K04749	Unknown	Unknown
K04750	Unknown	Unknown
K04751	map02020	Two-component system
K04753	Unknown	Unknown
K04754	Unknown	Unknown
K04755	Unknown	Unknown
K04757	Unknown	Unknown
K04758	Unknown	Unknown
K04759	Unknown	Unknown
K04761	Unknown	Unknown
K04762	Unknown	Unknown
K04763	Unknown	Unknown
K04764	Unknown	Unknown
K04767	Unknown	Unknown
K04768	Unknown	Unknown
K04771	map02020	Two-component system
K04772	Unknown	Unknown
K04773	Unknown	Unknown
K04774	Unknown	Unknown
K04780	map01053	Biosynthesis of siderophore group nonribosomal peptides
K04781	map01053	Biosynthesis of siderophore group nonribosomal peptides
K04784	map01053	Biosynthesis of siderophore group nonribosomal peptides
K04785	map01053	Biosynthesis of siderophore group nonribosomal peptides
K04786	map01053	Biosynthesis of siderophore group nonribosomal peptides
K04787	map01053	Biosynthesis of siderophore group nonribosomal peptides
K04788	map01053	Biosynthesis of siderophore group nonribosomal peptides
K04792	map01053	Biosynthesis of siderophore group nonribosomal peptides
K04794	Unknown	Unknown
K04835	map00910	Nitrogen metabolism
K04874	Unknown	Unknown
K04883	Unknown	Unknown
K05020	Unknown	Unknown
K05275	map00750	Vitamin B6 metabolism
K05289	map00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
K05296	map00140	Steroid hormone biosynthesis
K05297	map00071	Fatty acid metabolism
K05299	map00720	Methanoate metabolism
K05303	Unknown	Unknown
K05311	Unknown	Unknown
K05337	Unknown	Unknown
K05338	map02020	Two-component system
K05339	map02020	Two-component system
K05340	Unknown	Unknown
K05342	map00500	Starch and sucrose metabolism
K05343	map00500	Starch and sucrose metabolism
K05344	map00500	Starch and sucrose metabolism
K05346	Unknown	Unknown
K05349	map00940	Phenylpropanoid biosynthesis
K05350	map00940	Phenylpropanoid biosynthesis
K05362	map00550	Peptidoglycan biosynthesis
K05363	map00550	Peptidoglycan biosynthesis
K05364	map00550	Peptidoglycan biosynthesis
K05365	map00550	Peptidoglycan biosynthesis
K05366	map00550	Peptidoglycan biosynthesis
K05367	map00550	Peptidoglycan biosynthesis
K05373	Unknown	Unknown
K05389	Unknown	Unknown
K05393	Unknown	Unknown
K05396	map00270	Cysteine and methionine metabolism
K05499	Unknown	Unknown
K05501	Unknown	Unknown
K05515	map00550	Peptidoglycan biosynthesis
K05516	Unknown	Unknown
K05520	Unknown	Unknown
K05521	Unknown	Unknown
K05522	map03410	Base excision repair
K05524	Unknown	Unknown
K05530	map00513	Various types of N-glycan biosynthesis
K05531	map00513	Various types of N-glycan biosynthesis
K05535	map00513	Various types of N-glycan biosynthesis
K05539	Unknown	Unknown
K05540	Unknown	Unknown
K05541	Unknown	Unknown
K05546	map04141	Protein processing in endoplasmic reticulum
K05565	Unknown	Unknown
K05566	Unknown	Unknown
K05567	Unknown	Unknown
K05568	Unknown	Unknown
K05569	Unknown	Unknown
K05576	map00190	Oxidative phosphorylation
K05589	Unknown	Unknown
K05590	Unknown	Unknown
K05591	Unknown	Unknown
K05592	map03018	RNA degradation
K05593	Unknown	Unknown
K05595	Unknown	Unknown
K05601	map00910	Nitrogen metabolism
K05606	map00720	Citrate cycle (TCA cycle)
K05614	map04724	Glutamatergic synapse
K05616	map04974	Protein digestion and absorption
K05692	map05416	Viral myocarditis
K05710	map00360	Phenylalanine metabolism
K05747	map05131	Shigellosis
K05776	map02010	ABC transporters
K05777	Unknown	Unknown
K05786	Unknown	Unknown
K05794	Unknown	Unknown
K05796	Unknown	Unknown
K05799	Unknown	Unknown
K05801	Unknown	Unknown
K05802	Unknown	Unknown
K05804	Unknown	Unknown
K05807	Unknown	Unknown
K05808	Unknown	Unknown
K05810	Unknown	Unknown
K05813	map02010	ABC transporters
K05814	map02010	ABC transporters
K05815	map02010	ABC transporters
K05817	Unknown	Unknown
K05820	Unknown	Unknown
K05821	map00960	Tropane, piperidine and pyridine alkaloid biosynthesis
K05822	map00300	Lysine biosynthesis
K05823	map00300	Lysine biosynthesis
K05824	map00300	Lysine biosynthesis
K05832	Unknown	Unknown
K05833	Unknown	Unknown
K05834	Unknown	Unknown
K05837	Unknown	Unknown
K05838	Unknown	Unknown
K05841	Unknown	Unknown
K05844	Unknown	Unknown
K05845	map02010	ABC transporters
K05846	map02010	ABC transporters
K05847	map02010	ABC transporters
K05851	map05111	Vibrio cholerae pathogenic cycle
K05863	map05016	Huntington's disease
K05873	map00230	Purine metabolism
K05878	map00561	Glycerolipid metabolism
K05879	map00561	Glycerolipid metabolism
K05880	Unknown	Unknown
K05881	Unknown	Unknown
K05882	Unknown	Unknown
K05884	map00680	Citrate cycle (TCA cycle)
K05885	Unknown	Unknown
K05886	Unknown	Unknown
K05895	map00860	Porphyrin and chlorophyll metabolism
K05896	Unknown	Unknown
K05903	map00190	Oxidative phosphorylation
K05905	Unknown	Unknown
K05909	Unknown	Unknown
K05910	Unknown	Unknown
K05916	Unknown	Unknown
K05919	Unknown	Unknown
K05922	Unknown	Unknown
K05927	Unknown	Unknown
K05934	map00860	Porphyrin and chlorophyll metabolism
K05936	map00860	Porphyrin and chlorophyll metabolism
K05939	map00564	Glycerophospholipid metabolism
K05942	Unknown	Unknown
K05945	Unknown	Unknown
K05946	Unknown	Unknown
K05949	Unknown	Unknown
K05958	Unknown	Unknown
K05964	map02020	Two-component system
K05966	map02020	Two-component system
K05967	Unknown	Unknown
K05968	Unknown	Unknown
K05970	Unknown	Unknown
K05972	Unknown	Unknown
K05979	map00680	Methane metabolism
K05985	Unknown	Unknown
K05988	Unknown	Unknown
K05989	Unknown	Unknown
K05992	map00500	Starch and sucrose metabolism
K05993	map01053	Biosynthesis of siderophore group nonribosomal peptides
K05995	Unknown	Unknown
K06001	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K06005	Unknown	Unknown
K06015	Unknown	Unknown
K06016	Unknown	Unknown
K06017	Unknown	Unknown
K06019	map00190	Oxidative phosphorylation
K06020	Unknown	Unknown
K06023	Unknown	Unknown
K06024	Unknown	Unknown
K06027	map04962	Vasopressin-regulated water reabsorption
K06036	Unknown	Unknown
K06041	Unknown	Unknown
K06042	map00860	Porphyrin and chlorophyll metabolism
K06076	Unknown	Unknown
K06078	Unknown	Unknown
K06111	map04530	Tight junction
K06113	Unknown	Unknown
K06119	map00561	Glycerolipid metabolism
K06125	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
K06126	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
K06131	map00564	Glycerophospholipid metabolism
K06133	map00770	Pantothenate and CoA biosynthesis
K06139	Unknown	Unknown
K06142	Unknown	Unknown
K06143	Unknown	Unknown
K06147	Unknown	Unknown
K06148	map02010	ABC transporters
K06149	Unknown	Unknown
K06153	map00550	Peptidoglycan biosynthesis
K06155	Unknown	Unknown
K06156	Unknown	Unknown
K06158	Unknown	Unknown
K06167	Unknown	Unknown
K06168	Unknown	Unknown
K06173	Unknown	Unknown
K06177	Unknown	Unknown
K06178	Unknown	Unknown
K06179	Unknown	Unknown
K06180	Unknown	Unknown
K06182	Unknown	Unknown
K06183	Unknown	Unknown
K06187	map03440	Homologous recombination
K06188	Unknown	Unknown
K06189	Unknown	Unknown
K06191	Unknown	Unknown
K06193	map00440	Phosphonate and phosphinate metabolism
K06194	Unknown	Unknown
K06196	Unknown	Unknown
K06198	Unknown	Unknown
K06199	Unknown	Unknown
K06200	Unknown	Unknown
K06201	Unknown	Unknown
K06202	Unknown	Unknown
K06203	Unknown	Unknown
K06204	Unknown	Unknown
K06206	Unknown	Unknown
K06207	Unknown	Unknown
K06209	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K06210	map00760	Nicotinate and nicotinamide metabolism
K06211	Unknown	Unknown
K06212	Unknown	Unknown
K06213	Unknown	Unknown
K06215	map00750	Vitamin B6 metabolism
K06216	Unknown	Unknown
K06217	Unknown	Unknown
K06218	Unknown	Unknown
K06221	Unknown	Unknown
K06223	map03430	Mismatch repair
K06236	map05146	Amoebiasis
K06238	map04974	Protein digestion and absorption
K06281	map00633	Nitrotoluene degradation
K06282	map00633	Nitrotoluene degradation
K06286	Unknown	Unknown
K06287	Unknown	Unknown
K06298	Unknown	Unknown
K06306	Unknown	Unknown
K06330	Unknown	Unknown
K06346	Unknown	Unknown
K06350	Unknown	Unknown
K06351	Unknown	Unknown
K06373	Unknown	Unknown
K06374	Unknown	Unknown
K06381	Unknown	Unknown
K06400	Unknown	Unknown
K06409	Unknown	Unknown
K06412	Unknown	Unknown
